,,,octal,binary,,,,,,,,,,,,,,,,,
,,,,,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
1,,,,,OP code,,,,,X,I,B,displacement ∆,,,,,,,,displacement = 0 to 255
2,Store zero,STZ,000000,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Store A,STA,004000,0000100000000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
4,Store T,STT,010000,0001000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
5,StoreX,STX,014000,0001100000000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
6,Memory Increment & skip,MIN,040000,0100000000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Load A,LDA,044000,0100100000000000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
8,Load T,LDT,040000,0100000000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Load X,LDX,054000,0101100000000000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
10,Add to A,ADD,060000,0110000000000000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,Subtract from A,SUB,064000,0110100000000000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
12,Logical AND to A,AND,070000,0111000000000000,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
13,inclusive OR to A,ORA,074000,0111100000000000,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
14,Multiply integer,MPY,120000,1010000000000000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,Store double,STD,020000,0010000000000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,Load double,LDD,024000,0010100000000000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
17,Store floating,STF,030000,0011000000000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
18,Load floating,LDF,034000,0011100000000000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
19,add to floating,FAD,100000,1000000000000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,subtract from floating,FSB,104000,1000100000000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
21,multiply floating,FMU,110000,1001000000000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
22,divide floating,FDV,114000,1001100000000000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
23,Store byte,SBYT,142600,1100010110000000,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
24,Load byte,LBYT,142200,1100010010000000,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
25,,,,,,,,,,,,,scaling factor,,,,,,,,
26,Convert A to float TAD,NLZ,151400,1101001100000000,1,1,0,1,0,0,1,1,,,,,,,,,
27,Convert TAD to integer A,DNZ,152000,1101010000000000,1,1,0,1,0,1,0,0,,,,,,,,,
28,,,,,,,,,,function,,,argument (-128 to +127),,,,,,,,
29,Set argument to A,SAA,170400,1111000100000000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,
30,Add argument to A,AAA,172400,1111010100000000,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,
31,Set argument to X,SAX,171400,1111001100000000,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,
32,Add argument to X,AAX,173400,1111011100000000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,
33,Set argument to T,SAT,171000,1111001000000000,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,,
34,Add argument to T,AAT,173000,1111011000000000,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,,
35,Set argument to B,SAB,170000,1111000000000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,
36,Add argument to B,AAB,172000,1111010000000000,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,
37,,,,,,,,,,,,,,,source,,,destination,,,
38,,RADD,146000,1100110000000000,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,
39,,RSUB,146600,1100110110000000,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,,
40,,COPY,146100,1100110001000000,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,
41,,AD1,000400,0000000100000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
42,,ADC,001000,0000001000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
43,,SWAP,144000,1100100000000000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
44,,RAND,144400,1100100100000000,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,
45,,REXO,145000,1100101000000000,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,,
46,,RORA,145400,1100101100000000,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,,
47,,CLD,000100,0000000001000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
48,,CM1,000200,0000000010000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
49,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
50,,EXIT,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
51,,RCLR,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
52,,RINC,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
53,,RCDR,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
54,,RMPY,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
55,,RDIV,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
56,,,,,,,,,,function,,,,bit no.,,,,destination,,,
57,,BSKP,175000,1111101000000000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,,
58,,BSET,174000,1111100000000000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,
59,,BSTA,176200,1111110010000000,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,,
60,,BSTC,176000,1111110000000000,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,
61,,BLDA,176600,1111110110000000,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,,
62,,BLDC,176400,1111110100000000,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,,
63,,BANC,177000,1111111000000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,
64,,BORC,177400,1111111100000000,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,
65,,BAND,177200,1111111010000000,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,,
66,,BORA,177600,1111111110000000,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,
67,,,,,,,,,,condition,,,displacement,,,,,,,,
68,,JMP,124000,1010100000000000,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,
69,,JPL,134000,1011100000000000,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,
70,,JAP,130000,1011000000000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,
71,,JAN,130400,1011000100000000,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,
72,,JAZ,131000,1011001000000000,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,
73,,JAF,131400,1011001100000000,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,,
74,,JXN,133400,1011011100000000,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,,
75,,JPC,132000,1011010000000000,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,
76,,JNC,132400,1011010100000000,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,
77,,,,,,,,,,condition,,,,source,,,,destination,,,
78,,SKP,140000,1100000000000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
79,,,,,,,,,,,,,,,counter,,,,,,
80,Shift T,SHT,154000,1101100000000000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
